"3D Secure CAVV","3D 安全 CAVV"
"3D Secure Card Validation","3D安全驗證卡"
"3D Secure Cardholder Validation","3D安全驗證持卡人"
"3D Secure Electronic Commerce Indicator","3D安全電子商務指標"
"3D Secure Verification Result","3D安全驗證結果"
"3D Secure XID","3D 安全 XID"
"Card Issuer Liability","發卡機構的法律責任"
"Card Verification","信用卡驗證"
"Enrolled","登記"
"Enrolled but Authentication Unavailable","已經驗證登記，但無法使用"
"Failed","失敗"
"MasterCard SecureCode","萬事達卡安全碼"
"Merchant Liability","商家法律責任"
"Not Enrolled","沒有登記"
"Order cannot be placed.","無法完成訂單"
"Payment information error. Please start over.","付款資訊錯誤。請重新開始"
"Please continue with placing order.","請繼續下單"
"Please verify the card with the issuer bank before placing the order.","在訂購前請確認發行人的銀行卡"
"Please verify the card with the issuer bank:","請確認發行人的銀行卡:"
"Start/Reset Validation...","啟動/重設 驗證.."
"Successful","成功"
"Successful attempt","成功嘗試"
"The card has failed verification with the issuer bank.","該卡驗證失敗,請聯絡您的發卡銀行"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","已提交付款資訊錯誤或時間已過期,請再試一次"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","已提交付款資訊錯誤或時間已過期,請再試一次"
"This card has failed validation and cannot be used.","此卡已驗證失敗，無法使用"
"To ensure the security of your transactions","為確保您的交易安全"
"Unable to complete","無法完成"
"Validation failed.","驗證失敗"
"Verification Failed","驗證失敗"
"Verification Successful","驗證成功"
"Verification cannot be processed","驗證無法處理"
"Verified by Visa","Visa驗證"
